fips,lifeExp,se
8041006000,77.4,1.6487
8041006100,75.8,3.1951
8041006200,78,1.8423
8041006302,76.5,3.7651
8041006400,78.7,3.1335
8041006501,75.6,1.6346
8041006502,76.3,2.348
8041006600,77.5,1.7053
8041006700,80.2,1.8742
8041006801,79.5,1.1588
8041006802,84.6,3.6702
8041006901,80.3,2.0913
8041006902,83.2,2.1075
8041007000,84.3,2.7352
8041007101,81.2,2.5739
8041007102,83.6,2.4546
8041007201,81,1.6327
8041007202,85.7,2.7781
8041007300,82.4,1.8753
8041007400,83.9,2.007
8041007500,81.3,1.0723
8041007601,81.4,1.838
8041007602,79.2,1.9824
8041007700,80.7,1.6254
8041007800,81.7,1.283
8041007900,83.3,3.4598
8041008000,76.1,1.5792
8043978100,75.3,1.4535
8043978200,73.8,1.5832
8043978300,77.7,1.551
8043978400,79.4,1.7498
8043978500,72.2,1.0895
8043978600,76.2,1.7814
8043978800,74.3,2.1596
8043979000,81.3,3.6839
8043979100,75.7,1.4168
8043979200,72.6,2.2643
8043979400,79,1.1606
8045951600,82.7,1.8203
8045951701,81.7,2.7098
8045951702,78.3,1.6711
8045951803,81.2,2.2406
8045951804,84.5,2.8686
8045951901,77.6,1.3626
8045951902,82.6,2.8934
8045952001,79.8,2.4386
8045952002,74.9,1.1411
8045952100,89.4,3.8323
8047013800,81.8,3.3289
8049000100,79.5,1.6879
8049000201,80.4,1.5287
8049000202,81.7,2.9382
8051963600,81.4,1.2762
8051963700,79.2,1.3671
8051963800,81.4,2.1226
8053973100,81.4,1.2955
8055960900,81.4,2.0088
8057955600,78.7,1.1642
8059009806,84.3,2.0173
8059009807,77.6,2.0821
8059009808,80.4,1.7214
8059009815,83.9,1.6295
8059009823,79.7,1.74
8059009824,82.1,1.9688
8059009827,81.3,1.645
8059009828,81,1.4004
8059009830,79.4,2.0026
8059009832,78.8,1.1794
8059009833,82,2.2678
8059009834,82.3,2.8154
8059009835,82.7,2.1232
8059009836,81.1,2.1669
8059009837,81,2.1816
8059009838,87,2.9995
8059009840,83.3,1.8903
8059009841,83,2.0337
8059009842,85.9,2.8401
8059009843,80.4,1.107
